virus,host,interaction
PG-2021_33,Staphylococcus_caprae,NoInf
PG-2021_33,Staphylococcus_chromogenes,NoInf
PG-2021_33,Staphylococcus_cohnii,NoInf
PG-2021_33,Staphylococcus_epidermidis,NoInf
PG-2021_33,Staphylococcus_equorum,NoInf
PG-2021_33,Staphylococcus_fleuretti,NoInf
PG-2021_33,Staphylococcus_haemolyticus,NoInf
PG-2021_33,Staphylococcus_hominis,NoInf
PG-2021_33,Staphylococcus_hyicus,NoInf
PG-2021_33,Staphylococcus_kloosii,Inf
PG-2021_33,Staphylococcus_lentus,Inf
PG-2021_33,Staphylococcus_lugdunensis,NoInf
PG-2021_33,Staphylococcus_nepalensis,NoInf
PG-2021_33,Staphylococcus_pasteuri,NoInf
PG-2021_33,Staphylococcus_pettenkoferi,NoInf
PG-2021_33,Staphylococcus_pseudintermedius,NoInf
PG-2021_33,Staphylococcus_saprophyticus,NoInf
PG-2021_33,Staphylococcus_schleiferi,Inf
PG-2021_33,Staphylococcus_sciuri,Inf
PG-2021_33,Staphylococcus_succinus,Inf
PG-2021_33,Staphylococcus_vitulinus,Inf
PG-2021_33,Staphylococcus_warneri,NoInf
PG-2021_33,Staphylococcus_xylosus,Inf
PG-2021_35,Staphylococcus_arlettae,NoInf
PG-2021_35,Staphylococcus_aureus,NoInf
PG-2021_35,Staphylococcus_auricularis,NoInf
PG-2021_35,Staphylococcus_capitis,Inf
PG-2021_35,Staphylococcus_caprae,NoInf
PG-2021_35,Staphylococcus_chromogenes,NoInf
PG-2021_35,Staphylococcus_cohnii,Inf
PG-2021_35,Staphylococcus_epidermidis,Inf
PG-2021_35,Staphylococcus_equorum,NoInf
PG-2021_35,Staphylococcus_fleuretti,NoInf
PG-2021_35,Staphylococcus_haemolyticus,NoInf
PG-2021_35,Staphylococcus_hominis,NoInf
PG-2021_35,Staphylococcus_hyicus,NoInf
PG-2021_35,Staphylococcus_kloosii,NoInf
PG-2021_35,Staphylococcus_lentus,NoInf
PG-2021_35,Staphylococcus_lugdunensis,Inf
PG-2021_35,Staphylococcus_nepalensis,NoInf
PG-2021_35,Staphylococcus_pasteuri,NoInf
PG-2021_35,Staphylococcus_pettenkoferi,NoInf
PG-2021_35,Staphylococcus_pseudintermedius,NoInf
PG-2021_35,Staphylococcus_saprophyticus,NoInf
PG-2021_35,Staphylococcus_schleiferi,Inf
PG-2021_35,Staphylococcus_sciuri,NoInf
PG-2021_35,Staphylococcus_succinus,Inf
PG-2021_35,Staphylococcus_vitulinus,Inf
PG-2021_35,Staphylococcus_warneri,Inf
PG-2021_35,Staphylococcus_xylosus,Inf
PG-2021_38,Staphylococcus_arlettae,NoInf
PG-2021_38,Staphylococcus_aureus,Inf
PG-2021_38,Staphylococcus_auricularis,NoInf
PG-2021_38,Staphylococcus_capitis,Inf
PG-2021_38,Staphylococcus_caprae,NoInf
PG-2021_38,Staphylococcus_chromogenes,Inf
PG-2021_38,Staphylococcus_cohnii,NoInf
PG-2021_38,Staphylococcus_epidermidis,Inf
PG-2021_38,Staphylococcus_equorum,Inf
PG-2021_38,Staphylococcus_fleuretti,NoInf
PG-2021_38,Staphylococcus_haemolyticus,NoInf
PG-2021_38,Staphylococcus_hominis,NoInf
PG-2021_38,Staphylococcus_hyicus,NoInf
PG-2021_38,Staphylococcus_kloosii,NoInf
PG-2021_38,Staphylococcus_lentus,NoInf
PG-2021_38,Staphylococcus_lugdunensis,Inf
PG-2021_38,Staphylococcus_nepalensis,NoInf
PG-2021_38,Staphylococcus_pasteuri,NoInf
PG-2021_38,Staphylococcus_pettenkoferi,NoInf
PG-2021_38,Staphylococcus_pseudintermedius,NoInf
PG-2021_38,Staphylococcus_saprophyticus,Inf
PG-2021_38,Staphylococcus_schleiferi,Inf
PG-2021_38,Staphylococcus_sciuri,NoInf
PG-2021_38,Staphylococcus_succinus,Inf
PG-2021_38,Staphylococcus_vitulinus,Inf
PG-2021_38,Staphylococcus_warneri,NoInf
PG-2021_38,Staphylococcus_xylosus,Inf
PG-2021_40,Staphylococcus_arlettae,NoInf
PG-2021_40,Staphylococcus_aureus,Inf
PG-2021_40,Staphylococcus_auricularis,NoInf
PG-2021_40,Staphylococcus_capitis,NoInf
PG-2021_40,Staphylococcus_caprae,NoInf
PG-2021_40,Staphylococcus_chromogenes,Inf
PG-2021_40,Staphylococcus_cohnii,NoInf
PG-2021_40,Staphylococcus_epidermidis,NoInf
PG-2021_40,Staphylococcus_equorum,Inf
PG-2021_40,Staphylococcus_fleuretti,Inf
PG-2021_40,Staphylococcus_haemolyticus,NoInf
PG-2021_40,Staphylococcus_hominis,NoInf
PG-2021_40,Staphylococcus_hyicus,NoInf
PG-2021_40,Staphylococcus_kloosii,Inf
PG-2021_40,Staphylococcus_lentus,NoInf
PG-2021_40,Staphylococcus_lugdunensis,NoInf
PG-2021_40,Staphylococcus_nepalensis,NoInf
PG-2021_40,Staphylococcus_pasteuri,NoInf
PG-2021_40,Staphylococcus_pettenkoferi,NoInf
PG-2021_40,Staphylococcus_pseudintermedius,NoInf
PG-2021_40,Staphylococcus_saprophyticus,NoInf
PG-2021_40,Staphylococcus_schleiferi,NoInf
PG-2021_40,Staphylococcus_sciuri,Inf
PG-2021_40,Staphylococcus_succinus,NoInf
PG-2021_40,Staphylococcus_vitulinus,Inf
PG-2021_40,Staphylococcus_warneri,NoInf
PG-2021_40,Staphylococcus_xylosus,Inf
PG-2021_41,Staphylococcus_arlettae,NoInf
PG-2021_41,Staphylococcus_aureus,NoInf
PG-2021_41,Staphylococcus_auricularis,NoInf
PG-2021_41,Staphylococcus_capitis,NoInf
PG-2021_41,Staphylococcus_caprae,NoInf
PG-2021_41,Staphylococcus_chromogenes,Inf
PG-2021_41,Staphylococcus_cohnii,Inf
PG-2021_41,Staphylococcus_epidermidis,NoInf
